Scientific_Name,Common_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species_Epithet,Habitat_Type,Diet,IUCN_Status,IUCN_Risk_Score,Is_Threatened,Conservation_Group,Primary_Biome,Depth_Min_m,Depth_Max_m,Observation_Count,Location_Count,Biome_Count,Mean_Observed_Depth_m,Median_Observed_Depth_m,Mean_Body_Length_cm,Median_Body_Length_cm,Mean_Body_Weight_kg,Median_Body_Weight_kg,Mean_Estimated_Age_yr,Mean_Water_Temp_C,Mean_Salinity_ppt,Mean_pH,First_Observation_Date,Last_Observation_Date,Fun_Fact
Chauliodus macouni,Pacific Viperfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Chauliodus,macouni,Marine,Carnivore,Least Concern,2,0,Least Concern,Deep Ocean,200.0,4000.0,1980,3,1,2130.5601,2137.4,31.9052,32.1,0.0705,0.071,14.9368,4.0175,35.0249,7.9478,2000-01-03,2024-08-18,"Migrates 1,400 m up at night, back down by day"
Scarus gibbus,Parrotfish,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,gibbus,Marine,Herbivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,25.0,1980,6,1,12.8114,12.8,69.9693,70.3,6.9941,6.979,10.008,24.0061,35.026,7.9474,2000-01-08,2024-08-19,Produces white sand beaches by grinding coral
Pygocentrus nattereri,Piranha,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Pygocentrus,nattereri,Freshwater,Carnivore,Least Concern,2,0,Least Concern,River,0.0,10.0,1980,6,1,5.0343,5.1,24.8807,24.9,2.5023,2.49,12.4689,21.1111,0.2532,7.2398,2000-01-03,2024-08-16,Feeding frenzies triggered by distress signals in water
Alpheus heterochaelis,Pistol Shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,heterochaelis,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,0.0,50.0,1980,6,1,25.4425,25.5,4.4978,4.5,0.0089,0.009,2.0127,23.963,34.9464,7.9483,2000-01-01,2024-08-17,Snapping claw creates a bubble reaching 4700°C
Arothron stellatus,Puffer Fish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Arothron,stellatus,Marine,Omnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,58.0,1980,6,1,29.6176,29.55,100.0419,99.9,9.9738,9.956,5.0324,23.8859,34.9968,7.9436,2000-01-09,2024-08-14,"Tetrodotoxin 1,200x more toxic than cyanide"
Oncorhynchus mykiss,Rainbow Trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,Freshwater,Carnivore,Least Concern,2,0,Least Concern,River,0.0,5.0,1980,6,1,2.4813,2.5,99.5983,99.6,21.9942,21.9335,5.5219,20.9514,0.2534,7.2607,2000-01-02,2024-08-13,Can detect UV light invisible to humans
Remora remora,Remora,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,Remora,remora,Marine,Omnivore,Least Concern,2,0,Least Concern,Ocean,0.0,200.0,1980,5,1,101.4041,100.55,74.938,75.3,1.0007,1.006,5.9877,24.0848,34.9744,7.959,2000-01-11,2024-08-17,Modified fin acts as suction disc for hitchhiking
Rhinomuraena quaesita,Ribbon Eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,quaesita,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,57.0,1980,6,1,28.9461,29.0,119.7953,120.1,0.4051,0.4045,10.1219,23.9992,34.9341,7.9423,2000-01-10,2024-08-19,"Born male, turns female then yellow in old age"
Istiophorus platypterus,Sailfish,Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophoridae,Istiophorus,platypterus,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,350.0,1980,5,1,174.2987,176.55,309.5495,309.95,90.514,90.216,5.999,16.1994,35.0162,7.9592,2000-01-04,2024-08-16,Fastest fish — documented at 110 km/h
Crocodylus porosus,Saltwater Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,porosus,Brackish/Marine,Carnivore,Least Concern,2,0,Least Concern,Estuary,0.0,5.0,1981,4,1,2.5297,2.5,500.1678,498.1,710.3067,705.05,35.3232,24.0322,17.6783,7.946,2000-01-03,2024-08-21,Largest living reptile
Clione limacina,Sea Angel,Animalia,Mollusca,Gastropoda,Gymnosomata,Clionidae,Clione,limacina,Marine,Carnivore,Least Concern,2,0,Least Concern,Arctic,0.0,500.0,1980,4,1,251.6423,252.35,7.0159,7.0,0.001,0.001,0.9952,2.6099,35.0395,7.9564,2000-01-02,2024-08-20,Transparent; hunts exclusively one prey species
Holothuria scabra,Sea Cucumber,Animalia,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,scabra,Marine,Detritivore,Least Concern,2,0,Least Concern,Ocean Floor,0.0,100.0,1980,5,1,49.7142,50.2,34.9746,34.9,0.9964,1.003,3.9817,23.8856,34.9956,7.9494,2000-01-11,2024-08-11,Can liquefy its body to squeeze through cracks
Enhydra lutris,Sea Otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,lutris,Marine,Carnivore,Endangered,5,1,Threatened,Coast,0.0,40.0,1981,5,1,19.5672,19.4,129.3908,129.2,35.0505,35.027,11.5748,24.04,34.9553,7.9487,2000-01-06,2024-08-14,Wraps itself in kelp to anchor while sleeping
Hippocampus kuda,Seahorse,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,kuda,Marine,Carnivore,Vulnerable,4,1,Threatened,Coral Reef,1.0,20.0,1981,6,1,10.5452,10.4,14.0032,14.0,0.0791,0.079,2.5016,23.9898,35.0024,7.9455,2000-01-03,2024-08-21,Male carries and births offspring
Hippocampus erectus,Seahorse (Lined),Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,erectus,Marine,Carnivore,Vulnerable,4,1,Threatened,Sea Grass,1.0,70.0,1980,4,1,35.2946,35.4,19.0046,19.0,0.1004,0.1,2.5155,24.0335,34.994,7.9393,2000-01-12,2024-08-18,Pair-bonds for life and greets mate each morning
Mirounga leonina,Southern Elephant Seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,leonina,Marine,Carnivore,Least Concern,2,0,Least Concern,Sub-Antarctic,0.0,1430.0,1980,2,1,728.1867,723.3,599.2442,597.5,3498.1595,3508.187,11.4089,3.2757,34.9496,7.9544,2000-01-03,2024-08-17,Males inflate proboscis to amplify mating roars
Physeter macrocephalus,Sperm Whale,Animalia,Chordata,Mammalia,Artiodactyla,Physeteridae,Physeter,macrocephalus,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,3000.0,1980,5,1,1509.8248,1517.9,1797.9454,1797.25,57014.2719,57064.551,34.7748,4.2986,35.0338,7.9628,2000-01-09,2024-08-14,"Dives deepest of any toothed whale — 3,000 m"
Aetobatus narinari,Spotted Eagle Ray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Aetobatidae,Aetobatus,narinari,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,80.0,1980,5,1,40.4098,40.3,301.2508,300.7,220.6189,220.6595,14.9933,24.0416,35.0699,7.9288,2000-01-02,2024-08-19,Can leap several metres out of the water
Synanceia verrucosa,Stonefish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Synanceiidae,Synanceia,verrucosa,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,0.0,30.0,1980,6,1,15.3864,15.5,37.8627,38.1,1.9854,1.9805,5.0053,23.9662,35.0266,7.9467,2000-01-16,2024-08-03,World's most venomous fish
Acanthurus coeruleus,Surgeonfish (Blue Tang),Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,coeruleus,Marine,Herbivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,25.0,1980,6,1,12.9701,12.8,30.9787,30.9,0.4988,0.501,3.969,24.0141,34.9608,7.9459,2000-01-04,2024-08-11,Sharp scalpel-like spines near tail for defense
Xiphias gladius,Swordfish,Animalia,Chordata,Actinopterygii,Xiphiiformes,Xiphiidae,Xiphias,gladius,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,800.0,1980,5,1,400.1463,403.85,399.3827,398.3,602.3874,604.23,4.5116,6.524,34.9982,7.953,2000-01-22,2024-08-19,Heats its brain to improve cold-water vision
Balistoides viridescens,Triggerfish (Titan),Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistoides,viridescens,Marine,Carnivore,Least Concern,2,0,Least Concern,Coral Reef,1.0,50.0,1980,6,1,25.5495,25.6,74.635,74.7,10.0165,9.9885,4.9816,23.9519,34.985,7.9587,2000-01-01,2024-08-19,Aggressively guards its nest and will charge divers
Thunnus obesus,Tuna (Bigeye),Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,obesus,Marine,Carnivore,Vulnerable,4,1,Threatened,Ocean,0.0,800.0,1980,5,1,402.1956,400.1,230.7424,230.3,199.5935,199.342,7.9315,6.6693,35.028,7.9509,2000-01-06,2024-08-19,Dives deeper than any other tuna species
Vampyroteuthis infernalis,Vampire Squid,Animalia,Mollusca,Cephalopoda,Vampyromorphida,Vampyroteuthidae,Vampyroteuthis,infernalis,Marine,Detritivore,Least Concern,2,0,Least Concern,Deep Ocean,600.0,900.0,1980,3,1,749.0312,747.9,24.9334,24.9,0.1991,0.2,4.0395,3.4684,35.0212,7.9423,2000-01-05,2024-08-16,Neither squid nor octopus — its own unique order
Acanthocybium solandri,Wahoo,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Acanthocybium,solandri,Marine,Carnivore,Least Concern,2,0,Least Concern,Ocean,0.0,335.0,1980,5,1,166.8682,166.0,250.6203,250.5,82.6858,82.471,5.0138,16.7581,35.0001,7.9437,2000-01-01,2024-08-17,Sharp blade-like teeth can slice prey in half
Odobenus rosmarus,Walrus,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,rosmarus,Marine,Carnivore,Vulnerable,4,1,Threatened,Arctic,0.0,80.0,1980,4,1,40.0309,40.05,350.0064,351.1,1692.7112,1697.764,20.0669,0.9756,34.9781,7.951,2000-01-01,2024-08-21,Uses tusks to haul itself onto ice
Rhincodon typus,Whale Shark,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,typus,Marine,Filter feeder,Endangered,5,1,Threatened,Ocean,0.0,1800.0,1980,5,1,900.9245,895.0,1496.0847,1500.55,17979.9114,17939.063,64.5723,4.6728,34.9905,7.9408,2000-01-05,2024-08-20,Largest fish in the ocean
Orectolobus maculatus,Wobbegong,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Orectolobidae,Orectolobus,maculatus,Marine,Carnivore,Least Concern,2,0,Least Concern,Coast,0.0,110.0,1980,5,1,55.3703,55.6,269.9573,269.45,1.5025,1.507,12.2945,23.8852,34.9987,7.9412,2000-01-07,2024-08-21,Flattened ambush predator perfectly camouflaged on reef
Cheilinus undulatus,Wrasse (Napoleon),Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cheilinus,undulatus,Marine,Carnivore,Endangered,5,1,Threatened,Coral Reef,1.0,100.0,1980,6,1,50.3377,50.95,229.4735,229.2,189.2956,190.2845,14.9831,24.0555,34.9986,7.943,2000-01-03,2024-08-13,One of the largest coral reef fish; born female
Thunnus albacares,Yellowfin Tuna,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,albacares,Marine,Carnivore,Near Threatened,3,0,Near Threatened,Ocean,0.0,1000.0,1980,5,1,504.3863,507.7,219.6141,219.7,198.339,197.8285,3.4773,5.9088,34.9882,7.946,2000-01-08,2024-08-21,Swims at 75 km/h; retractable fins reduce drag
